Polutan,Metode,Jumlah_Fitur_Input,Jumlah_PCA,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia,Cumulative_Variance
NO2,PCA,68,22,5,0.2178221134829263,0.8432367277588405,21.92321010134921,651.7812751209888,0.9983306734014452
NO2,PCA,68,22,6,0.201406797438874,0.8999993272078753,20.18652873991824,572.8349445488326,0.9983306734014452
NO2,PCA,68,22,7,0.1631753185048336,1.0235588933680757,19.327846211428582,501.0561730904597,0.9983306734014452
NO2,PCA,68,22,8,0.1684625068872933,0.9815168238094172,18.071079937369184,454.6681107296937,0.9983306734014452
NO2,PCA,68,22,9,0.1662648164198296,0.892734717893358,16.85814916540689,419.1310416401309,0.9983306734014452
NO2,PCA,68,22,10,0.1742848004900287,0.8622081072050743,16.80801506464432,369.2328832278338,0.9983306734014452
NO2,PCA,68,23,2,0.7458399336175354,0.162836149130007,29.49153217772212,1323.7611743780535,0.9988462194105706
NO2,PCA,68,23,3,0.1913857346590631,1.1234345581432712,24.52921015457956,998.4803900258582,0.9988462194105706
NO2,PCA,68,23,4,0.205334664823446,0.9973011571512108,22.16601377399081,808.9910149783495,0.9988462194105706
NO2,PCA,68,23,5,0.2174448019866018,0.8440869349668153,21.881180938388027,653.0350919744332,0.9988462194105706
NO2,PCA,68,23,6,0.1864347068101832,0.9471823186871574,20.07277780510337,575.6121949703484,0.9988462194105706
NO2,PCA,68,23,7,0.1629511956674977,1.0254756956556883,19.280116798804418,502.3003983079524,0.9988462194105706
NO2,PCA,68,23,8,0.1680082111565973,0.9830594094924934,18.02163531728912,455.9177038513157,0.9988462194105706
NO2,PCA,68,23,9,0.1655792733049965,0.8952035667490361,16.80857847681769,420.3710588137578,0.9988462194105706
NO2,PCA,68,23,10,0.1734757239969894,0.864142715684465,16.75231592107395,370.4652878498502,0.9988462194105706
NO2,PCA,68,24,2,0.7457320913308232,0.1629174942579958,29.4721709156068,1324.6307988671624,0.9992023313986248
NO2,PCA,68,24,3,0.1911701715245173,1.12413725518637,24.507952693040732,999.3479055072072,0.9992023313986248
NO2,PCA,68,24,4,0.2050898849758925,0.9980073755281424,22.14235047634637,809.8572563580221,0.9992023313986248
NO2,PCA,68,24,5,0.2171840207242849,0.8447053658729796,21.854032502778743,653.8619780891114,0.9992023313986248
NO2,PCA,68,24,6,0.1862530677267525,0.9478101537732688,20.046324276489525,576.3977774159837,0.9992023313986248
NO2,PCA,68,24,7,0.1626771203271571,1.0264541612116107,19.24937814477441,503.1164260600343,0.9992023313986248
NO2,PCA,68,24,8,0.1676453616215913,0.9841351944591292,17.989243200005397,456.7477594520172,0.9992023313986248
NO2,PCA,68,24,9,0.1652104695238114,0.8962372114553254,16.778059800110373,421.1538189870394,0.9992023313986248
NO2,PCA,68,24,10,0.173032904206253,0.865119930962002,16.717421768716054,371.25321787459006,0.9992023313986248
NO2,PCA,68,25,2,0.7456665314330945,0.1629665236630402,29.460669619098294,1325.14792864561,0.9994140964649246
NO2,PCA,68,25,3,0.1910428601484126,1.1245449454979235,24.495531712287477,999.8589025998464,0.9994140964649246
NO2,PCA,68,25,4,0.2049383040349648,0.9984432490929124,22.128226812752374,810.3742349683084,0.9994140964649246
NO2,PCA,68,25,5,0.2170049289523043,0.8450746991289485,21.83678983629866,654.3785003568214,0.9994140964649246
NO2,PCA,68,25,6,0.1860831388631459,0.9483417154659676,20.029066755718176,576.8992593996404,0.9994140964649246
NO2,PCA,68,25,7,0.1624660623288371,1.0271291659840642,19.23030740038981,503.6191211358884,0.9994140964649246
NO2,PCA,68,25,8,0.1674735741104993,0.9847371097822538,17.970677886645106,457.2281015678422,0.9994140964649246
NO2,PCA,68,25,9,0.1650715085275805,0.8968098709174966,16.760294269430002,421.6124489057597,0.9994140964649246
NO2,PCA,68,25,10,0.1728391174239431,0.8656929936840317,16.696594779022643,371.7245418735952,0.9994140964649246
NO2,PCA,68,26,2,0.7456157974172799,0.1630071605139788,29.45166141412884,1325.5532438601083,0.9995800732382342
NO2,PCA,68,26,3,0.1909632313669182,1.1248544921494934,24.48563420284748,1000.2635359872072,0.9995800732382342
NO2,PCA,68,26,4,0.2048289142608198,0.9988078191725148,22.117184776600567,810.7790595261353,0.9995800732382342
NO2,PCA,68,26,5,0.2168754535247638,0.8453732320411055,21.82331351760886,654.7829200552168,0.9995800732382342
NO2,PCA,68,26,6,0.185941822174066,0.9486475972314048,20.01505914167104,577.3033758599969,0.9995800732382342
NO2,PCA,68,26,7,0.162352190835097,1.0276435885381558,19.21543801253232,504.0120557770789,0.9995800732382342
NO2,PCA,68,26,8,0.1673220713345492,0.9852342144942868,17.955302309720256,457.622220778139,0.9995800732382342
